,ratio_d,ratio_pitch,ratio_top_diameter
202,0.07003515625,0.4208984375,0.12812500000000002
203,0.03553515624999999,1.0458984375,0.5281250000000001
204,0.026910156249999997,0.2646484375,0.628125
205,0.061410156249999986,0.8896484375,0.22812500000000002
206,0.04416015625,0.5771484375,0.42812500000000003
207,0.00966015625,1.2021484375,0.028125
208,0.01181640625,0.6162109375,0.703125
209,0.04631640625,1.2412109375,0.30312500000000003
210,0.06356640625,0.3037109375,0.503125
211,0.029066406249999996,0.9287109375,0.10312500000000001
212,0.03769140624999999,0.4599609375,0.203125
213,0.07219140624999999,1.0849609375,0.603125
214,0.05494140624999999,0.7724609375,0.003125
215,0.02044140625,1.3974609375,0.403125
216,0.01612890625,0.3818359375,0.053125000000000006
217,0.050628906249999994,1.0068359375,0.453125
218,0.06787890625,0.6943359375,0.253125
219,0.03337890624999999,1.3193359375,0.6531250000000001
220,0.02475390625,0.8505859375,0.553125
221,0.05925390624999999,1.4755859375,0.153125
222,0.04200390625,0.5380859375,0.753125
223,0.007503906249999999,1.1630859375,0.353125
224,0.00642578125,0.8310546875,0.140625
225,0.04092578125,1.4560546875,0.540625
226,0.05817578124999999,0.5185546875,0.340625
227,0.023675781249999996,1.1435546875,0.7406250000000001
228,0.032300781249999994,0.3623046875,0.44062500000000004
229,0.06680078125,0.9873046875,0.040625
230,0.049550781249999995,0.6748046875,0.640625
231,0.015050781249999999,1.2998046875,0.240625
232,0.019363281249999996,0.4404296875,0.690625
233,0.05386328124999999,1.0654296875,0.290625
234,0.07111328125,0.7529296875,0.49062500000000003
235,0.03661328124999999,1.3779296875,0.09062500000000001
236,0.027988281249999997,0.5966796875,0.390625
237,0.06248828125,1.2216796875,0.790625
238,0.04523828125,0.2841796875,0.19062500000000002
239,0.010738281249999999,0.9091796875,0.5906250000000001
240,0.00858203125,0.3232421875,0.265625
241,0.04308203125,0.9482421875,0.665625
242,0.06033203124999999,0.6357421875,0.065625
243,0.025832031249999998,1.2607421875,0.465625
244,0.03445703124999999,0.7919921875,0.765625
245,0.06895703125,1.4169921875,0.36562500000000003
246,0.05170703124999999,0.4794921875,0.565625
247,0.017207031249999998,1.1044921875,0.16562500000000002
248,0.012894531249999999,0.7138671875,0.515625
249,0.04739453125,1.3388671875,0.115625
