,coilable,sigma_crit,energy
369,2,8.39421367052998,5.22562189360017
370,0,62.16337429260485,
371,0,1.2832981371385708,
372,2,3.126948997915086,1.8819830401070399
373,1,77.104840350072,
374,2,18.631314258109636,9.730943302324633
375,0,0.4677118143630147,
376,1,0.08231111684849406,
377,0,13.403392687427058,
378,2,35.45462836269534,22.54016657755031
379,2,2.828501648629164,1.6529148012407768
380,1,1.1726790854919797,0.6293434211069469
381,1,28.40852072213095,
382,2,8.90911174242088,5.555528616685932
383,1,0.0012942607296187402,
384,1,0.002526692946945141,
385,2,6.556165063750299,3.9845961557599585
386,2,38.01765956624722,23.262425074099287
387,0,0.47242280067853476,
388,2,2.1321669416135034,1.3406174096266845
389,0,56.22371181641531,
390,2,10.273005942741188,6.442670581942689
391,1,0.10037456626965183,0.05977014276506844
392,1,0.19958029863723675,0.13018844618380193
393,0,17.871190249902746,
394,2,59.925019172960425,37.223081643557116
395,0,4.846968298897817,
396,2,1.7970502934392087,1.0539568751319957
397,2,31.469388587674278,19.528585466442486
398,0,16.85387185365935,
399,0,0.018386852265520486,
400,1,0.055267508918319205,
401,0,,
402,2,72.5390033426517,38.370831415819524
403,1,1.7533781770547925,
404,2,4.45162742025755,2.7099430038620884
405,0,96.3727743805492,
406,2,26.785140302593618,
407,0,0.3194176045877103,
408,1,0.15126085791453733,0.08179188096063121
409,0,24.56715701566496,
410,2,45.75895599823701,28.430644102635757
411,0,3.932782305777971,
412,2,1.5823821061968604,0.9239899955188251
413,0,28.391968608049396,
414,2,9.335137694089266,5.664829073503724
415,0,,
416,1,0.010054696290400894,0.006370625420653766
417,0,8.1907499912813,
418,2,25.887506423555326,15.491688434964576
419,2,1.343140395741123,0.7947530349015068
420,1,6.7351825437400645,3.7321415827498914
421,2,63.635239206318694,
422,2,26.983765671572304,
423,1,0.17057590180816973,
424,1,0.6836023115683089,0.3896284468561713
425,2,20.23814256356541,12.505710527866224
426,0,120.35678768472546,
427,0,4.466778970839898,
428,2,1.4670266034438546,0.9204679748988731
429,0,46.73553072904888,
430,2,11.394729981652866,6.404206620155929
431,2,0.09270711773125666,0.053948945865000264
432,1,0.02263692586584646,0.013054645582721687
433,2,14.93509985974346,8.851842260341927
434,2,41.17656687673516,25.523497096785576
435,0,1.4564587152225528,
436,2,5.452393702419387,3.3412075988339685
437,0,42.4778176914545,
438,2,35.96265094104467,
439,0,,
440,1,0.21601782115976773,
441,2,15.095528042380089,9.015092085543
442,2,59.83589240482897,33.09132717770426
443,2,2.1028824320845945,1.3007327657569807
444,1,0.8271982674235405,0.48587157679714327
445,0,32.81265630736988,
446,2,6.160696861155558,3.921289808309128
447,0,0.0030107531570625554,
448,0,,
449,0,7.983084621534997,
450,2,29.32016023616133,16.65349550036045
451,0,0.9169743877228168,
452,2,3.107595756835112,1.770095051085119
453,2,38.06604266894716,24.09689157464788
454,2,26.460464218686152,15.570008015773706
455,0,0.08432028885008615,
456,1,0.44602854491617483,0.2569262132093327
457,2,18.71662130760689,11.585697754310415
458,2,75.50565148188463,
459,0,3.0729636412183154,
460,2,1.420808007969968,0.8909583430815149
461,0,,
462,2,8.152552804939248,4.815197749917627
463,1,0.029068058806303768,
464,1,0.04644905183148347,0.027986020953666417
465,0,,
466,2,32.45105627666509,20.39443447661459
467,0,1.7368260629732355,
468,0,10.573108503435263,
469,0,75.92709377119196,
470,2,32.067811173699816,16.949688126547933
471,2,0.38017659566247225,0.23976429738393212
472,1,0.277222446075187,
473,0,,
474,0,128.45713766833055,
475,2,3.7345389086627057,2.2542317564702037
476,2,0.7732893050994537,0.4856780457415841
477,1,43.47094453634793,
478,2,8.16897759506633,4.929115889584478
479,0,0.00897324481828919,
480,1,0.004480122521268721,0.0024105688453718243
481,2,5.348624679523472,3.4440810609491623
482,2,48.76125484472253,
483,2,0.7372948231697907,0.4404905126920953
484,0,,
485,0,53.64158201969241,
486,2,15.940959100084237,8.897360931677152
487,0,0.17206559207550987,
